Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
chloramphenicol__catB	3.10E-05	8.26E-06	4.23E-05	0	5.90E-06	6.15E-05	0	0	9.78E-05	2.28E-05	0	0	1.44E-05	3.03E-05	2.09E-04	0	3.58E-05	1.29E-05	1.43E-04	0	2.45E-05	2.49E-05	4.58E-05	1.74E-05	2.93E-05	0	4.39E-05	2.39E-05	3.68E-05	0	1.45E-04	0	0	0	0	2.14E-05	1.14E-04	4.66E-05	0	0	0	3.98E-05	0	0	0	0	0	0	0	0	0	0	3.37E-05	0.026	2.30E-05	2.08E-04	7.66E-05	1.71E-05	5.82E-05	9.26E-05	1.03E-04	1.51E-04	0	0	4.64E-05	7.04E-05	1.61E-04	1.93E-04	0	3.81E-04	1.10E-04	4.32E-05	1.21E-04	4.18E-04	2.26E-05	1.25E-04	0	0.001	0.064	0.013	0	0	1.18E-04	6.55E-05	4.35E-05	chloramphenicol	0.10801006
multidrug__amrB	0.001	4.66E-04	0.001	4.76E-04	3.28E-04	4.28E-04	0.001	0.001	0.001	0.001	0.001	0.001	0.001	4.90E-04	4.62E-04	0.001	0.001	0.001	0.001	3.59E-04	0.001	3.10E-04	0.002	3.18E-04	0.001	4.03E-04	3.47E-04	0.001	0.001	0.001	0.001	4.83E-04	0.002	0.001	1.14E-04	0.001	2.41E-04	0.001	0.001	0.001	0.001	2.56E-04	9.92E-05	3.35E-04	3.70E-04	0.001	0.001	0.001	0.001	4.70E-04	0.001	0.001	0.002	0.001	0.001	0.001	0.003	0.001	2.68E-04	0.001	2.94E-04	2.94E-04	0.006	0.004	0.002	0.001	2.46E-04	0.004	0.019	0.001	0.001	1.71E-04	3.41E-04	9.74E-05	2.38E-04	0.001	1.35E-04	4.95E-04	0.003	0.001	0.001	1.07E-04	0.001	0.001	0.002	multidrug	0.1024416
multidrug__mexB	4.88E-05	6.36E-05	2.63E-04	1.17E-04	0.001	1.81E-04	4.89E-05	1.08E-04	5.53E-05	5.71E-05	2.24E-04	0.001	1.96E-04	6.31E-05	1.42E-04	7.46E-05	9.67E-05	0.001	1.39E-04	1.70E-04	6.10E-05	2.57E-04	0.003	0.002	2.10E-04	4.46E-05	4.81E-05	1.08E-04	1.87E-04	5.15E-05	1.29E-04	1.10E-04	1.48E-04	2.93E-04	1.52E-04	8.04E-05	3.22E-05	1.37E-04	4.66E-04	2.81E-05	1.01E-04	9.32E-05	1.45E-04	1.13E-04	1.06E-04	4.68E-05	1.24E-04	9.36E-05	1.66E-04	1.24E-04	3.29E-05	3.07E-04	1.20E-04	0.001	9.62E-05	3.43E-05	0.002	0.002	0.001	9.91E-05	3.85E-05	4.10E-04	0.004	0.001	3.71E-04	2.19E-05	4.95E-04	0.002	0.006	0.001	2.90E-05	2.11E-05	0.003	3.29E-04	3.54E-04	5.44E-05	4.54E-05	0.041	0.011	0.001	9.10E-05	6.03E-05	0.002	3.86E-04	0.001	multidrug	0.0960997
multidrug__mexC	0.001	4.82E-04	0.001	0.001	4.27E-04	4.03E-04	0.001	2.79E-04	0.001	2.65E-04	0.001	4.33E-04	0.001	0.001	1.87E-04	4.60E-04	2.98E-04	0.001	0.001	2.48E-04	2.93E-04	7.18E-05	3.88E-04	2.53E-04	0.002	3.11E-04	3.36E-04	2.97E-04	0.001	2.84E-04	0.001	2.60E-04	4.81E-05	0.002	3.26E-04	0.001	1.64E-04	1.87E-04	0.001	1.03E-04	4.99E-04	6.32E-05	1.87E-04	2.88E-04	6.52E-05	3.36E-04	0.001	1.79E-04	4.88E-04	2.40E-04	0.001	1.39E-04	0.001	0.001	1.74E-04	0.001	0.001	0.001	2.50E-04	0.002	2.04E-04	2.04E-04	0.002	3.80E-04	0.001	4.59E-04	1.96E-04	0.007	0.027	3.51E-04	4.87E-04	1.38E-04	0.003	5.77E-05	9.38E-05	0.001	1.65E-04	0.006	0.002	3.53E-04	4.68E-04	3.53E-05	0.002	2.38E-04	1.98E-04	multidrug	0.0917401
multidrug__smeE	2.66E-05	2.34E-06	3.73E-05	2.13E-05	1.20E-05	1.59E-05	5.23E-06	0	3.42E-05	8.45E-06	3.17E-05	0	2.78E-05	1.11E-05	0	5.08E-06	0	1.81E-04	7.49E-05	7.44E-06	6.58E-06	0	2.15E-05	2.82E-05	1.34E-05	0	0	0	1.29E-05	0	2.08E-05	1.73E-05	9.89E-06	2.53E-05	1.99E-06	1.01E-05	0	0	5.52E-05	0	0	0	4.48E-06	7.05E-06	0	8.94E-06	1.18E-05	0	1.11E-05	0	0	1.49E-05	1.43E-05	2.80E-05	9.11E-06	0	4.16E-05	5.47E-06	2.89E-05	1.37E-05	0	2.88E-05	2.24E-04	3.03E-04	2.70E-05	0	1.11E-05	2.81E-04	4.56E-04	2.75E-05	4.00E-06	0	1.24E-04	9.37E-06	1.16E-05	5.26E-06	0	2.12E-04	1.53E-04	3.09E-05	5.89E-06	3.35E-05	0.081	0.002	1.50E-04	multidrug	0.08602277
multidrug__mexW	3.66E-04	2.49E-04	2.54E-04	2.65E-04	1.60E-04	3.47E-04	3.58E-04	1.84E-04	2.26E-04	4.43E-04	2.90E-04	1.46E-04	1.11E-04	2.18E-04	2.09E-04	3.37E-04	1.46E-04	8.27E-05	2.14E-04	1.21E-04	2.66E-04	1.74E-04	2.04E-04	4.78E-04	3.74E-04	4.61E-04	2.10E-04	1.70E-04	3.00E-04	1.53E-04	3.39E-04	2.81E-04	2.27E-04	4.77E-04	1.45E-04	4.68E-04	2.28E-04	0.001	3.77E-04	4.13E-04	0.001	2.31E-04	0.001	0.001	2.59E-04	3.36E-04	2.97E-04	2.04E-04	0.001	2.43E-04	4.05E-04	2.05E-04	3.27E-04	0.001	3.93E-04	3.08E-04	1.49E-04	3.16E-04	0.001	0.001	3.36E-04	1.56E-04	1.81E-04	4.22E-04	0.001	2.71E-04	0.002	0.006	0.007	0.002	3.87E-04	2.56E-04	0.001	0.001	0.001	3.12E-04	3.07E-04	2.56E-04	0.001	0.001	4.22E-04	2.34E-04	0.01	0.017	0.01	multidrug	0.0856847
macrolide-lincosamide-streptogramin__ereA	1.85E-04	1.73E-04	0.002	3.66E-04	2.16E-04	1.91E-04	1.53E-04	1.67E-04	2.75E-04	0.001	2.18E-04	3.29E-05	2.75E-04	0.002	0.001	1.80E-04	3.31E-04	0.002	0.005	0.002	1.45E-04	1.83E-05	0	0.007	0.003	2.21E-04	0.001	0.004	2.01E-04	1.89E-04	0.001	0.003	1.21E-04	0	3.24E-04	3.63E-04	1.14E-04	5.29E-05	0.002	0.002	2.07E-04	4.43E-05	0.009	0.001	3.26E-05	4.46E-04	0.001	0.003	1.39E-04	7.11E-05	0.001	0.001	0.004	0.002	0.004	0.001	0.001	1.37E-04	4.17E-04	0.004	1.55E-04	1.38E-04	0	3.34E-04	0	2.98E-04	2.54E-04	0	0	0	3.17E-04	7.94E-05	0.001	2.30E-04	4.90E-05	0.001	1.93E-04	5.56E-05	0.001	1.91E-04	4.49E-04	1.08E-04	0	0	0	macrolide-lincosamide-streptogramin	0.0818571
multidrug__oprC	5.23E-05	4.38E-05	0.001	3.25E-04	8.18E-05	4.37E-05	7.35E-05	1.01E-04	1.22E-04	3.43E-05	1.06E-04	6.76E-05	2.45E-04	1.61E-04	4.25E-05	4.16E-05	2.24E-06	2.34E-04	2.70E-04	3.71E-05	8.80E-05	2.69E-05	0.001	0.001	6.68E-05	6.01E-05	5.67E-05	6.01E-05	2.89E-04	3.38E-05	5.40E-05	5.65E-05	2.92E-04	0.001	3.10E-05	6.55E-05	2.24E-05	2.47E-04	0.001	2.23E-05	7.85E-05	5.66E-05	0.001	1.06E-04	5.46E-05	6.32E-05	1.19E-04	1.10E-04	2.14E-04	1.14E-04	5.34E-05	1.97E-04	1.00E-04	0.001	1.24E-04	7.72E-05	4.03E-04	0.001	3.73E-04	3.27E-04	5.98E-05	1.06E-04	0.001	0.002	0.001	1.10E-04	3.88E-05	0.005	0.006	0.001	4.11E-05	3.16E-05	0.007	0.001	0.001	6.76E-05	5.02E-05	0.018	0.006	4.65E-04	6.38E-05	5.99E-05	0.004	0.007	0.003	multidrug	0.07822084
aminoglycoside__aph(6)-I	2.36E-05	3.73E-05	0	0	0	0	0	1.51E-05	0	0	0	0	0	3.27E-05	6.47E-05	0	1.08E-05	0	3.04E-04	1.40E-05	5.96E-05	5.41E-05	0.004	8.87E-05	0	0	0	0	0	0	0	0	3.96E-05	0	0	2.09E-05	0	0	6.91E-05	0	0	0	0	2.07E-05	3.81E-05	0	4.90E-05	3.97E-05	0	0	3.45E-05	1.99E-05	2.05E-05	4.03E-05	0	1.59E-05	0	0	0	0	0	0	0	2.45E-05	1.23E-04	0	0	0.01	0.004	8.27E-05	0	1.63E-05	2.75E-04	1.39E-04	0.001	0	0	1.57E-04	1.68E-04	2.44E-04	5.77E-05	0	0.01	0.032	0.015	aminoglycoside	0.0784
multidrug__oprM	2.09E-05	1.39E-05	1.48E-04	1.02E-05	5.43E-05	2.06E-04	1.34E-04	0	1.20E-04	4.87E-05	1.65E-04	0.002	9.37E-05	3.78E-05	5.09E-05	2.28E-05	1.40E-04	1.48E-04	2.09E-04	3.09E-05	8.30E-05	4.43E-05	2.00E-05	2.44E-05	1.16E-04	2.93E-05	9.23E-06	1.80E-05	2.30E-05	7.48E-06	5.89E-05	1.02E-04	1.07E-05	6.47E-05	2.25E-05	4.65E-05	0	3.79E-05	0.002	0	1.87E-05	3.97E-05	2.93E-05	1.43E-04	0	3.85E-05	9.20E-05	2.73E-05	3.14E-05	3.14E-05	6.69E-05	3.16E-05	4.31E-05	7.55E-05	0	4.40E-05	7.58E-06	0	7.53E-05	8.05E-05	4.97E-05	0	1.10E-05	4.47E-04	3.39E-04	2.80E-05	2.18E-04	0.001	0.001	1.39E-05	2.80E-05	1.89E-05	0.001	4.55E-05	5.40E-05	1.47E-05	1.45E-05	9.44E-05	2.55E-05	1.30E-05	2.91E-05	6.19E-05	0.056	0.001	8.71E-05	multidrug	0.06884099
tetracycline__tetC	3.32E-05	2.67E-05	7.71E-05	8.72E-05	1.51E-05	0	2.86E-05	1.16E-04	4.82E-05	2.45E-05	2.89E-05	2.41E-04	3.70E-04	1.23E-05	3.29E-05	0	6.69E-05	3.07E-05	3.01E-05	0	1.01E-04	0	1.22E-04	4.33E-05	0	3.44E-05	3.63E-05	1.63E-05	8.44E-05	1.22E-05	0	0	0	7.57E-05	4.81E-05	8.68E-05	1.46E-05	1.71E-05	0.009	4.73E-04	3.18E-05	5.20E-05	0.013	4.69E-04	3.32E-04	1.99E-05	1.01E-04	5.43E-05	1.62E-05	7.25E-05	0	0	0	0.008	8.50E-05	1.07E-04	4.83E-05	5.01E-05	6.24E-05	0.003	0	0	0	0	0	3.07E-05	0	0	0	0.001	2.45E-04	0	3.83E-05	0	0.001	1.25E-05	3.60E-05	0	0.003	0.027	1.08E-04	0	0	0	0	tetracycline	0.0694066
multidrug__bpeF	1.16E-04	3.03E-05	2.53E-04	2.23E-04	6.46E-05	8.68E-05	8.50E-05	4.14E-05	8.14E-05	5.53E-05	1.89E-04	6.68E-05	2.59E-04	1.62E-04	1.20E-04	6.97E-05	2.04E-05	2.94E-04	1.17E-04	8.79E-05	1.77E-04	3.52E-05	0.001	0.001	1.69E-04	2.72E-05	2.87E-05	3.54E-05	0.001	8.63E-05	1.13E-04	4.40E-05	1.02E-04	0.001	1.97E-05	7.67E-05	9.75E-06	4.67E-04	0.001	6.40E-06	2.72E-04	6.40E-05	0.001	1.32E-04	4.44E-05	5.58E-05	1.07E-04	8.69E-05	3.13E-04	2.58E-05	1.22E-04	1.69E-04	2.25E-04	0.001	6.85E-05	9.73E-05	1.69E-04	0.001	3.38E-04	1.45E-04	3.30E-05	1.25E-04	0.001	0.002	2.74E-04	1.31E-04	5.05E-05	0.004	0.006	0.001	4.20E-05	1.76E-05	0.004	0.001	0.001	5.09E-05	2.00E-05	0.014	0.005	0.001	8.76E-05	1.07E-05	0.004	0.007	0.003	multidrug	0.06909695
multidrug__mexI	1.33E-04	1.73E-04	6.90E-05	7.30E-05	3.07E-05	1.33E-04	5.07E-05	8.12E-05	5.21E-05	5.94E-05	6.96E-05	8.56E-05	3.22E-05	8.72E-05	6.14E-05	9.82E-05	3.31E-05	3.54E-05	1.14E-04	5.64E-05	1.44E-04	6.17E-05	1.82E-04	1.67E-04	1.58E-04	1.54E-04	8.10E-05	2.88E-05	5.97E-05	6.45E-05	1.91E-04	5.60E-05	3.43E-05	1.35E-04	2.81E-05	9.47E-05	1.46E-04	2.06E-04	1.23E-04	2.02E-04	1.04E-04	2.25E-05	3.49E-04	0.001	4.20E-05	5.51E-05	8.64E-05	3.94E-05	2.34E-04	4.24E-05	5.49E-05	6.37E-05	5.82E-05	1.48E-04	1.60E-04	1.19E-04	3.74E-05	1.23E-04	4.65E-04	3.82E-04	5.24E-05	4.98E-05	9.58E-05	2.25E-04	4.76E-04	8.49E-05	8.40E-05	0.003	0.006	0.002	1.48E-04	1.68E-04	0.002	0.002	0.001	9.58E-05	6.98E-05	4.95E-04	0.001	0.001	1.32E-04	7.21E-05	0.01	0.02	0.008	multidrug	0.0656796
multidrug__smeC	1.34E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93E-04	0	0	0	0	3.70E-05	0	0	0	0	0	0	0	0	0	0.062	0.001	2.74E-05	multidrug	0.063382
multidrug__smeF	1.39E-05	4.49E-06	1.36E-05	0	0	0	0	0	4.04E-05	0	1.41E-05	0	0	0	0	0	0	0	1.84E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.74E-06	1.89E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40E-05	0	0	0	0	0	0	0	0	0	7.34E-06	0	0	0	2.72E-04	1.20E-05	0	0	0	6.46E-05	0	0	0	0	1.09E-05	0	0	0	0	0.056	0.001	9.52E-05	multidrug	0.05778767
beta-lactam__OXA-21	7.21E-05	5.00E-05	3.88E-05	0	7.44E-05	4.44E-05	9.57E-05	1.09E-04	1.62E-04	5.34E-05	1.66E-04	2.43E-05	1.63E-04	0.001	0.001	7.69E-05	1.65E-04	0.002	0.005	0.001	1.09E-04	6.20E-05	0	0.001	0.002	1.57E-04	5.09E-05	3.16E-05	0	0	2.36E-04	6.88E-05	0	0	2.32E-05	1.36E-04	6.50E-05	0	0.002	6.41E-05	9.31E-05	0	0.008	0	2.43E-05	2.71E-04	2.80E-04	1.90E-05	0	3.56E-05	4.59E-04	1.84E-04	1.99E-04	2.62E-04	0.004	0.001	0	0	2.74E-04	0.003	5.31E-05	0	0	3.56E-04	0.021	1.32E-04	0	0	0	0	2.33E-04	5.38E-05	0	0	0	0.001	4.58E-04	2.04E-05	8.06E-05	1.40E-04	9.13E-05	0	0	0	0	beta-lactam	0.0590178
multidrug__adeB	4.67E-05	8.63E-05	3.86E-04	1.74E-04	1.08E-04	1.22E-04	1.25E-04	2.05E-04	1.53E-04	1.76E-04	3.25E-04	4.32E-04	2.93E-04	9.52E-05	1.91E-04	1.39E-04	1.36E-04	3.40E-04	2.16E-04	2.02E-04	1.13E-04	6.45E-05	3.38E-04	8.63E-05	1.62E-04	3.57E-05	3.31E-05	2.59E-04	3.09E-04	1.75E-04	2.20E-04	1.63E-04	3.27E-04	0.001	8.66E-05	1.11E-04	2.17E-05	4.23E-04	2.79E-04	1.45E-04	1.14E-04	6.25E-05	6.79E-05	8.27E-05	1.01E-04	5.18E-05	1.43E-04	1.42E-04	1.05E-04	5.89E-05	8.73E-05	1.48E-04	3.16E-04	1.02E-04	1.16E-04	6.69E-05	6.10E-05	3.73E-04	6.09E-05	6.50E-05	2.24E-05	5.83E-05	0.001	0.003	0.001	9.49E-05	0.001	0.004	0.018	1.57E-04	1.93E-05	4.45E-06	0.001	1.44E-04	4.72E-04	1.78E-04	4.06E-05	2.08E-04	0.002	2.87E-04	9.82E-05	2.17E-05	0.005	0.001	0.001	multidrug	0.05043385
trimethoprim__dfrA1	7.48E-05	2.87E-05	0	0	7.37E-05	2.90E-05	1.81E-05	0	6.68E-05	5.51E-05	1.38E-04	4.25E-05	7.04E-05	0.001	0.001	6.08E-05	1.45E-04	0.003	0.002	0.001	0	3.48E-05	0	1.60E-05	2.71E-04	1.33E-04	3.51E-05	0	0	0	2.57E-04	3.01E-05	0	0	2.03E-05	1.41E-04	1.94E-04	5.63E-05	0.002	4.33E-05	4.81E-05	1.17E-04	0.009	0	0	2.29E-04	1.14E-04	0	5.98E-05	0	2.25E-04	2.13E-04	1.92E-04	1.81E-04	0.003	1.23E-04	0	0	2.40E-04	0.001	0	0	0	9.61E-05	0.019	0	7.37E-05	0	0	9.14E-05	0	0	0	0	0	0.001	3.65E-04	0	7.13E-05	1.84E-04	0	0	0	0	0	trimethoprim	0.0476582
tetracycline__tetracycline_resistance_protein	0	6.13E-06	4.98E-06	1.46E-05	0	0	0	0	0	4.98E-06	6.49E-05	1.08E-04	7.32E-05	0	0	2.51E-05	0	2.52E-04	1.81E-04	3.02E-05	0	0	2.97E-04	0.003	7.93E-05	1.06E-05	1.59E-05	0	1.32E-05	0	0	5.40E-05	1.22E-04	0	0	0	0	3.64E-05	5.11E-06	0	9.50E-06	7.71E-05	1.04E-05	1.58E-05	0	9.92E-06	0	1.39E-05	0	0	0	0	0	0.019	0	0	0	0	3.52E-05	1.88E-04	0	1.61E-05	0	0	0	0	0	0	0	0	0	0	0.01	0.005	3.79E-04	1.31E-04	0	0.001	0.004	4.96E-04	0	6.82E-05	5.01E-05	0	5.57E-05	tetracycline	0.04495452
chloramphenicol__chloramphenicol exporter	0	6.27E-05	9.38E-05	2.00E-05	5.04E-06	0	0	0	4.07E-05	0	1.01E-04	0.001	2.81E-04	3.73E-05	1.26E-05	3.13E-04	1.89E-05	5.01E-05	2.85E-04	9.28E-05	7.93E-05	2.93E-05	0	0.037	0.002	8.22E-05	2.44E-04	4.75E-05	1.54E-05	2.44E-05	6.31E-05	4.10E-04	0.001	0	0	4.71E-05	4.41E-05	7.39E-05	0	0	8.64E-05	2.07E-04	0	0	1.67E-05	0	1.02E-04	0	0	1.91E-05	6.79E-05	7.31E-05	3.68E-05	9.89E-06	0	2.17E-05	3.50E-05	0	0	0	2.21E-05	0	0	3.76E-05	0	0	0	0	0	0	0	1.98E-05	4.32E-05	1.33E-05	0	0	0	0.001	1.79E-05	1.92E-05	0	0	0	0	0	chloramphenicol	0.04542293
multidrug__emrB	1.86E-04	1.27E-04	4.15E-04	2.19E-04	3.94E-04	4.58E-04	2.25E-04	2.83E-04	3.42E-04	1.74E-04	4.31E-04	0.002	2.74E-04	5.38E-05	1.15E-04	3.30E-04	2.95E-04	0.001	1.83E-04	1.03E-04	1.69E-04	1.10E-04	0.003	0.001	2.15E-05	1.22E-04	3.76E-05	4.89E-05	3.06E-04	6.48E-05	1.69E-04	2.92E-04	1.40E-04	1.25E-04	1.92E-04	1.46E-04	4.19E-05	1.64E-04	3.65E-04	0	1.45E-04	1.53E-04	3.01E-04	4.08E-04	7.62E-05	5.62E-05	2.02E-04	2.06E-04	1.76E-04	2.90E-04	9.31E-05	0.002	0.001	4.12E-04	1.66E-04	1.83E-04	0.001	0.001	2.02E-04	1.72E-04	5.82E-05	4.07E-05	0.001	1.73E-04	0.001	2.55E-05	1.44E-04	0.003	0.002	0.003	8.41E-05	0	0.004	1.29E-04	3.35E-04	1.71E-04	1.12E-04	0.002	3.07E-04	4.83E-04	8.49E-05	0	0.002	9.01E-05	0.001	multidrug	0.0436015
aminoglycoside__aac(3)-I	2.26E-04	3.37E-04	1.81E-04	4.99E-04	0.001	4.47E-04	2.83E-04	1.35E-04	4.81E-04	1.40E-04	2.09E-04	0.001	1.04E-04	1.73E-04	0	2.88E-04	0.001	0.001	1.67E-04	8.03E-05	1.15E-04	9.52E-05	2.65E-04	1.97E-04	2.99E-04	2.46E-04	1.38E-04	1.14E-04	1.85E-04	2.71E-05	1.92E-04	3.14E-04	9.85E-05	3.27E-04	5.75E-05	2.05E-04	0.001	1.71E-04	2.51E-04	1.65E-05	1.54E-04	1.29E-04	4.18E-04	1.16E-04	4.34E-05	4.56E-04	0.001	0.002	1.89E-04	0.001	1.07E-04	0.001	4.65E-04	4.79E-04	2.48E-05	1.77E-04	0.001	0.002	0.002	2.45E-04	4.38E-04	2.30E-04	4.91E-04	0.002	0.004	1.05E-04	0	2.71E-04	0.001	0.001	0.001	4.22E-04	3.80E-04	4.26E-05	5.06E-05	3.34E-04	1.32E-04	0	1.66E-04	0.003	2.27E-04	0	3.02E-04	0	0.002	aminoglycoside	0.0426585
quinolone__qepA	8.50E-06	6.79E-06	2.94E-05	2.81E-06	5.62E-06	0	2.53E-05	9.08E-06	1.83E-05	0	2.31E-05	1.05E-05	4.96E-05	1.66E-05	0	0	0	2.47E-05	6.86E-05	0	0	0	4.13E-04	0.002	7.34E-05	1.96E-05	3.11E-05	4.24E-05	1.25E-04	1.22E-05	0	0	6.78E-05	5.33E-06	0	0	1.15E-05	3.00E-04	3.11E-05	0	1.14E-05	2.68E-05	0.001	1.27E-04	0	8.34E-06	2.81E-05	2.16E-05	1.53E-05	3.82E-05	0	1.82E-04	1.68E-05	1.16E-04	6.47E-06	0	2.54E-04	0.001	0.001	5.71E-05	2.12E-05	0	0.001	2.75E-04	1.97E-05	1.26E-05	0	1.66E-04	1.37E-04	1.74E-04	0	0	0.006	0.001	2.64E-04	3.73E-05	0	0.004	2.28E-04	4.56E-04	8.99E-06	0	0.013	0.001	0.001	quinolone	0.03614023
macrolide-lincosamide-streptogramin__mphA	3.54E-04	1.35E-04	1.10E-04	1.06E-04	2.16E-05	2.36E-04	3.90E-05	1.07E-04	2.53E-05	1.21E-05	3.70E-04	0.001	1.91E-04	2.66E-04	0.002	2.27E-04	1.49E-04	4.61E-05	0.001	3.25E-04	1.73E-04	2.22E-05	0	3.85E-05	0.002	1.21E-04	2.82E-04	9.49E-05	5.85E-05	2.27E-04	0.001	4.16E-04	2.64E-05	0.001	0	1.91E-04	8.00E-05	0	8.74E-05	2.57E-04	1.28E-04	1.73E-05	1.01E-04	6.07E-05	0	1.35E-04	2.18E-04	3.41E-05	4.71E-05	0.003	1.95E-04	1.23E-04	2.59E-04	0.001	0.001	1.26E-04	0	4.32E-04	1.67E-04	0.002	1.01E-04	0	0	4.26E-04	0	0.001	3.37E-05	0	0	0	3.32E-05	0	0	0	0	2.07E-05	0	0	1.10E-04	2.08E-04	4.99E-04	7.50E-05	0	0	0	macrolide-lincosamide-streptogramin	0.0243448
multidrug__mexY	1.64E-04	1.12E-04	3.27E-04	1.56E-04	6.34E-05	1.15E-04	2.33E-04	1.16E-04	2.52E-04	6.75E-05	1.89E-04	1.48E-04	2.75E-04	1.64E-04	4.45E-05	1.26E-04	9.94E-05	1.12E-04	2.49E-04	8.49E-05	1.59E-04	3.09E-05	1.55E-04	1.49E-04	1.26E-04	1.52E-04	7.03E-05	1.70E-04	2.20E-04	4.74E-05	1.52E-04	8.19E-05	1.56E-04	0.001	2.42E-05	2.47E-04	5.96E-05	3.23E-04	3.37E-04	1.52E-04	1.55E-04	4.28E-05	5.64E-05	4.26E-05	9.70E-05	1.73E-04	2.64E-04	1.36E-04	1.66E-04	9.52E-05	1.20E-04	1.48E-04	1.99E-04	4.92E-04	5.86E-05	2.15E-04	0.001	3.39E-04	6.44E-05	3.95E-04	4.05E-05	1.15E-04	0.002	1.07E-04	1.03E-04	1.05E-04	5.49E-05	0.001	4.50E-04	1.06E-04	1.71E-04	3.20E-05	1.12E-04	0	6.54E-05	1.65E-04	4.35E-05	0.001	0.001	1.48E-04	1.88E-04	4.01E-05	0.002	0.001	7.41E-05	multidrug	0.0212895
polymyxin__arnA	3.40E-04	2.47E-04	1.66E-04	2.50E-04	3.59E-04	0.001	4.51E-04	3.14E-04	0.001	1.80E-04	0.001	1.60E-04	3.41E-05	2.54E-04	0.001	2.58E-04	4.96E-05	0	5.51E-05	0.001	2.38E-04	7.32E-05	8.22E-06	1.00E-05	0.001	4.26E-04	2.03E-04	8.83E-05	1.74E-04	1.40E-04	0.001	1.40E-04	7.32E-05	9.18E-05	4.45E-04	0.001	3.18E-05	1.73E-04	5.03E-05	2.22E-04	2.23E-04	8.78E-05	2.25E-04	2.29E-04	1.93E-04	8.41E-05	1.96E-04	9.59E-05	1.46E-04	4.91E-04	3.92E-04	7.42E-05	3.16E-04	6.99E-05	1.63E-04	3.67E-04	2.17E-04	6.16E-05	8.52E-05	6.12E-05	1.07E-04	3.33E-04	1.45E-04	8.49E-05	4.97E-05	1.31E-04	0.001	2.39E-04	4.60E-05	4.15E-05	4.69E-04	2.10E-04	0	0	4.56E-04	2.29E-04	3.84E-04	0	5.46E-05	2.16E-04	2.72E-04	1.65E-04	6.96E-06	0	1.12E-04	polymyxin	0.02223518
unclassified__cAMP-regulatory protein	0.001	3.27E-04	2.24E-04	6.64E-05	9.53E-05	0.001	7.04E-05	1.14E-04	4.50E-04	2.38E-04	0.002	2.99E-04	0	2.14E-05	9.23E-05	0.001	0	0	0	8.65E-05	3.19E-05	0	0	0	0	0	8.74E-05	0	9.37E-05	4.34E-05	0.002	2.67E-04	2.01E-04	1.37E-04	1.52E-05	1.49E-04	1.50E-04	2.63E-04	1.96E-04	0	1.17E-04	1.76E-04	3.95E-04	0.001	1.62E-04	2.16E-04	3.74E-04	1.15E-04	0	1.96E-05	2.40E-04	6.85E-05	2.60E-04	2.66E-05	1.57E-04	1.11E-04	3.47E-04	0	0	2.72E-04	0	0.001	2.03E-04	1.46E-04	3.79E-05	7.52E-05	0.002	0.001	7.43E-05	1.37E-04	1.98E-05	0	0	0	0.001	0	4.12E-05	0	0	0	4.98E-04	0	0	0	5.57E-05	unclassified	0.0210637
